

F	0.156	0.155	0.154	0.16	0.157	0.156	0.156	0.155	0.155	0.15	0.151	0.152	Read 1:977 [Test]
	0.09	0.089	0.088	0.094	0.09	0.092	0.089	0.088	0.089	0.088	0.087	0.091	Read 1:900 [Ref]
	0.368	0.367	0.366	0.364	0.372	0.354	0.368	0.367	0.363	0.344	0.354	0.34	Read 1:Pathlength
	0.092	0.087	0.088	0.094	0.09	0.093	0.09	0.087	0.09	0.092	0.092	0.095	Read 1:600
G	0.152	0.154	0.155	0.151	0.152	0.158	0.154	0.156	0.153	0.15	0.152	0.151	Read 1:977 [Test]
	0.086	0.087	0.087	0.087	0.088	0.092	0.088	0.089	0.09	0.086	0.088	0.089	Read 1:900 [Ref]
	0.367	0.371	0.377	0.354	0.358	0.363	0.367	0.372	0.352	0.357	0.353	0.347	Read 1:Pathlength
	0.092	0.09	0.09	0.091	0.09	0.094	0.089	0.088	0.094	0.091	0.092	0.093	Read 1:600
H	0.154	0.152	0.157	0.149	0.152	0.151	0.151	0.151	0.15	0.151	0.15	0.149	Read 1:977 [Test]
	0.087	0.087	0.09	0.083	0.086	0.086	0.086	0.086	0.084	0.086	0.087	0.085	Read 1:900 [Ref]
	0.372	0.364	0.368	0.367	0.37	0.364	0.361	0.364	0.365	0.362	0.348	0.358	Read 1:Pathlength
	0.085	0.085	0.088	0.084	0.083	0.084	0.084	0.084	0.086	0.088	0.085	0.086	Read 1:600
													
Read 2:600													
													
Time	T	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12
0:15:00	37	0.049	0.054	0.049	0.048	0.049	0.051	0.048	0.053	0.047	0.049	0.052	0.049
0:30:00	37	0.049	0.054	0.049	0.048	0.049	0.051	0.048	0.053	0.047	0.049	0.052	0.049
0:45:00	37	0.049	0.054	0.049	0.048	0.049	0.051	0.048	0.053	0.047	0.049	0.052	0.049
1:00:00	37	0.049	0.054	0.049	0.048	0.049	0.051	0.048	0.053	0.047	0.049	0.052	0.049
2:00:00	37	0.091	0.122	0.091	0.081	0.1	0.109	0.092	0.095	0.093	0.095	0.115	0.1
3:00:00	37	0.228	0.244	0.198	0.2	0.208	0.219	0.219	0.197	0.19	0.246	0.231	0.206
4:00:00	37	0.444	0.44	0.405	0.398	0.406	0.431	0.436	0.386	0.385	0.597	0.434	0.407
5:00:00	37	0.583	0.581	0.568	0.539	0.543	0.574	0.585	0.51	0.529	0.569	0.565	0.547
6:00:00	37	0.682	0.675	0.641	0.63	0.627	0.642	0.678	0.598	0.627	0.662	0.658	0.615
7:00:00	37	0.728	0.785	0.75	0.698	0.74	0.751	0.728	0.7	0.705	0.766	0.736	0.716
8:00:00	37	0.81	0.732	0.739	0.776	0.771	0.763	0.777	0.722	0.745	0.767	0.791	0.735
9:00:00	37	0.865	0.934	0.858	0.885	0.897	0.915	0.857	0.906	0.87	0.86	0.886	0.843
10:00:00	37	0.868	0.916	0.897	0.921	0.931	0.924	0.889	0.903	0.879	0.874	0.902	0.895
11:00:00	37	0.929	0.887	0.909	0.919	0.886	0.893	0.871	0.908	0.903	0.874	0.908	0.874
12:00:00	37	0.929	0.887	0.909	0.919	0.886	0.893	0.871	0.908	0.903	0.874	0.908	0.874
13:00:00	37	0.929	0.887	0.909	0.919	0.886	0.893	0.871	0.908	0.903	0.874	0.908	0.874
14:00:00	37	0.929	0.887	0.909	0.919	0.886	0.893	0.871	0.908	0.903	0.874	0.908	0.874
15:00:00	37	0.929	0.887	0.909	0.919	0.886	0.893	0.871	0.908	0.903	0.874	0.908	0.783


Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.771	0.791	0.771	0.727	0.581	0.572	0.54	0.542	0.761	0.682	0.738	0.723	Read 3:977 [Test]
	0.815	0.811	0.812	0.746	0.593	0.568	0.547	0.54	0.797	0.698	0.772	0.74	Read 3:900 [Ref]
	-0.242	-0.111	-0.228	-0.106	-0.067	0.026	-0.041	0.012	-0.199	-0.087	-0.189	-0.093	Read 3:Pathlength
	1.278	1.197	1.287	1.135	0.991	0.895	0.948	0.875	1.236	1.065	1.227	1.123	Read 3:600
	0.256	0.27	0.257	0.265	0.266	0.229	0.252	0.26	0.261	0.292	0.286	0.256	Corrected [Read 1:600]
	-5.276	-10.829	-5.65	-10.75	-14.744	35.026	-23.385	75.017	-6.198	-12.286	-6.475	-12.107	Corrected [Read 3:600]
	7.065	6.661	7.236	6.711	4.155	3.971	4.285	4.231	8.073	6.762	8.216	7.208	Max V [Read 2:600]
	0.995	0.998	0.996	0.997	0.996	0.99	0.996	0.991	0.99	0.993	0.992	0.994	R-Squared [Read 2:600]
	2:59:10	3:14:10	2:59:10	3:14:10	3:29:10	3:14:10	3:29:10	3:44:10	2:59:10	2:59:10	2:59:10	3:14:10	t at Max V [Read 2:600]
	1:57:07	1:56:07	1:47:00	2:08:10	2:18:12	2:08:41	2:16:59	2:39:44	2:00:02	1:55:34	1:52:30	2:03:12	Lagtime [Read 2:600]
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
