Competition	Replicate	Comp1	Comp2	Day	Dilution	Strain_1_colonies	Strain_1_CFU	Strain_2_colonies	Strain_2_CFU	Method
WT_RY	1	WT	Rho_ydcI	8	-6	137	137000000	19	19000000	SingleFlask
WT_RY	2	WT	Rho_ydcI	8	-6	148	148000000	41	41000000	SingleFlask
WT_RY	3	WT	Rho_ydcI	8	-6	86	86000000	86	86000000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	8	-6	269	269000000	1	1000000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	8	-6	130	130000000	0.1	100000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	8	-6	195	195000000	0.1	100000	SingleFlask
WT_Rho	1	WT	Rho	9	-6	86	86000000	0.1	100000	SingleFlask
WT_Rho	2	WT	Rho	9	-6	82	82000000	0.1	100000	SingleFlask
WT_Rho	3	WT	Rho	9	-6	115	115000000	0.1	100000	SingleFlask
WFL_ydcI	1	WT	ydcI	9	-6	0.1	100000	171	171000000	SingleFlask
WFL_ydcI	2	WT	ydcI	9	-5	21	2100000	903	90300000	SingleFlask
WFL_ydcI	3	WT	ydcI	9	-6	0.1	100000	150	15000000	SingleFlask
WT_RY	1	WT	Rho_ydcI	9	-6	63	63000000	3	3000000	SingleFlask
WT_RY	2	WT	Rho_ydcI	9	-6	54	54000000	133	133000000	SingleFlask
WT_RY	3	WT	Rho_ydcI	9	-6	48	48000000	16	16000000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	9	-6	158	158000000	0.1	100000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	9	-6	97	97000000	0.1	100000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	9	-6	176	176000000	2	2000000	SingleFlask
WT_Rho	1	WT	Rho	10	-6	53	53000000	0.1	10000	SingleFlask
WT_Rho	2	WT	Rho	10	-6	32	32000000	0.1	10000	SingleFlask
WT_Rho	3	WT	Rho	10	-6	39	39000000	0.1	10000	SingleFlask
WFL_ydcI	1	WT	ydcI	10	-6	0.1	10000	62	62000000	SingleFlask
WFL_ydcI	2	WT	ydcI	10	-5	4	400000	595	59500000	SingleFlask
WFL_ydcI	3	WT	ydcI	10	-6	0.1	10000	124	124000000	SingleFlask
WT_RY	1	WT	Rho_ydcI	10	-5	444	44400000	130	13000000	SingleFlask
WT_RY	2	WT	Rho_ydcI	10	-6	0.1	100000	68	68000000	SingleFlask
WT_RY	3	WT	Rho_ydcI	10	-6	4	4000000	67	67000000	SingleFlask
ydcI_RY	1	ydcI	Rho_ydcI	10	-6	90	90000000	2	200000	SingleFlask
ydcI_RY	2	ydcI	Rho_ydcI	10	-6	171	171000000	6	600000	SingleFlask
ydcI_RY	3	ydcI	Rho_ydcI	10	-6	48	48000000	1	1000000	SingleFlask
WT_Rho	1	WT	Rho	0	-4	102	10200000	126	12600000	SingleTube
WT_Rho	2	WT	Rho	0	-4	69	6900000	85	8500000	SingleTube
WT_Rho	3	WT	Rho	0	-4	102	10200000	139	13900000	SingleTube
WFL_ydcI	1	WT	ydcI	0	-4	97	9700000	84	8400000	SingleTube
WFL_ydcI	2	WT	ydcI	0	-4	90	9000000	111	11100000	SingleTube
WFL_ydcI	3	WT	ydcI	0	-4	77	7700000	81	8100000	SingleTube
WT_RY	1	WT	Rho_ydcI	0	-4	88	8800000	55	5500000	SingleTube
WT_RY	2	WT	Rho_ydcI	0	-4	155	15500000	75	7500000	SingleTube
WT_RY	3	WT	Rho_ydcI	0	-4	111	11100000	91	9100000	SingleTube
ydcI_RY	1	ydcI	Rho_ydcI	0	-4	115	11500000	125	12500000	SingleTube
ydcI_RY	2	ydcI	Rho_ydcI	0	-4	75	7500000	84	8400000	SingleTube
ydcI_RY	3	ydcI	Rho_ydcI	0	-4	62	6200000	110	11000000	SingleTube
WT_Rho	1	WT	Rho	1	-6	27	270000000	185	1850000000	SingleTube
WT_Rho	2	WT	Rho	1	-6	8	80000000	31	310000000	SingleTube
WT_Rho	3	WT	Rho	1	-6	16	160000000	26	260000000	SingleTube
WFL_ydcI	1	WT	ydcI	1	-6	52	520000000	77	770000000	SingleTube
WFL_ydcI	2	WT	ydcI	1	-6	59	590000000	66	660000000	SingleTube
WFL_ydcI	3	WT	ydcI	1	-6	53	530000000	35	350000000	SingleTube
WT_RY	1	WT	Rho_ydcI	1	-6	15	150000000	38	380000000	SingleTube
WT_RY	2	WT	Rho_ydcI	1	-6	29	290000000	124	1240000000	SingleTube
WT_RY	3	WT	Rho_ydcI	1	-6	15	150000000	48	480000000	SingleTube
ydcI_RY	1	ydcI	Rho_ydcI	1	-6	37	370000000	155	1550000000	SingleTube
ydcI_RY	2	ydcI	Rho_ydcI	1	-6	26	260000000	91	910000000	SingleTube
ydcI_RY	3	ydcI	Rho_ydcI	1	-6	47	470000000	267	2670000000	SingleTube
WT_Rho	1	WT	Rho	2	-6	18	180000000	84	840000000	SingleTube
WT_Rho	2	WT	Rho	2	-6	27	270000000	79	790000000	SingleTube
WT_Rho	3	WT	Rho	2	-5	127	127000000	261	261000000	SingleTube
WFL_ydcI	1	WT	ydcI	2	-6	38	380000000	111	1110000000	SingleTube
WFL_ydcI	2	WT	ydcI	2	-6	111	1110000000	151	1510000000	SingleTube
WFL_ydcI	3	WT	ydcI	2	-6	134	1340000000	171	1710000000	SingleTube
WT_RY	1	WT	Rho_ydcI	2	-6	79	790000000	122	1220000000	SingleTube
WT_RY	2	WT	Rho_ydcI	2	-6	28	280000000	59	590000000	SingleTube
WT_RY	3	WT	Rho_ydcI	2	-6	16	160000000	47	470000000	SingleTube
ydcI_RY	1	ydcI	Rho_ydcI	2	-6	31	310000000	126	1260000000	SingleTube
ydcI_RY	2	ydcI	Rho_ydcI	2	-6	15	150000000	36	360000000	SingleTube
ydcI_RY	3	ydcI	Rho_ydcI	2	-6	60	600000000	144	1440000000	SingleTube
WT_Rho	1	WT	Rho	3	-6	11	110000000	41	410000000	SingleTube
WT_Rho	2	WT	Rho	3	-6	20	200000000	71	710000000	SingleTube
WT_Rho	3	WT	Rho	3	-6	24	240000000	111	1110000000	SingleTube
WFL_ydcI	1	WT	ydcI	3	-6	25	250000000	64	640000000	SingleTube
WFL_ydcI	2	WT	ydcI	3	-6	35	350000000	81	810000000	SingleTube
WFL_ydcI	3	WT	ydcI	3	-6	25	250000000	60	600000000	SingleTube
WT_RY	1	WT	Rho_ydcI	3	-5	240	240000000	760	760000000	SingleTube
WT_RY	2	WT	Rho_ydcI	3	-6	42	420000000	103	1030000000	SingleTube
WT_RY	3	WT	Rho_ydcI	3	-6	26	260000000	91	910000000	SingleTube
ydcI_RY	1	ydcI	Rho_ydcI	3	-6	22	220000000	71	710000000	SingleTube
ydcI_RY	2	ydcI	Rho_ydcI	3	-6	43	430000000	114	1140000000	SingleTube
ydcI_RY	3	ydcI	Rho_ydcI	3	-6	24	240000000	86	860000000	SingleTube
WT_Rho	1	WT	Rho	4	-5	26	26000000	103	103000000	SingleTube
WT_Rho	2	WT	Rho	4	-5	71	71000000	279	279000000	SingleTube
WT_Rho	3	WT	Rho	4	-5	41	41000000	109	109000000	SingleTube
WFL_ydcI	1	WT	ydcI	4	-5	2	2000000	304	304000000	SingleTube
WFL_ydcI	2	WT	ydcI	4	-5	14	14000000	259	259000000	SingleTube
WFL_ydcI	3	WT	ydcI	4	-5	29	29000000	190	190000000	SingleTube
WT_RY	1	WT	Rho_ydcI	4	-5	25	25000000	157	157000000	SingleTube
WT_RY	2	WT	Rho_ydcI	4	-5	25	25000000	213	213000000	SingleTube
WT_RY	3	WT	Rho_ydcI	4	-5	95	95000000	271	271000000	SingleTube
ydcI_RY	1	ydcI	Rho_ydcI	4	-5	7	7000000	11	11000000	SingleTube
ydcI_RY	2	ydcI	Rho_ydcI	4	-5	38	38000000	142	142000000	SingleTube
ydcI_RY	3	ydcI	Rho_ydcI	4	-5	49	49000000	85	85000000	SingleTube
WT_Rho	1	WT	Rho	5	-4	114	11400000	163	16300000	SingleTube
WT_Rho	2	WT	Rho	5	-4	89	8900000	208	20800000	SingleTube
WT_Rho	3	WT	Rho	5	-4	158	15800000	136	13600000	SingleTube
WFL_ydcI	1	WT	ydcI	5	-4	35	3500000	75	7500000	SingleTube
WFL_ydcI	2	WT	ydcI	5	-4	7	700000	344	34400000	SingleTube
WFL_ydcI	3	WT	ydcI	5	-4	4	400000	332	33200000	SingleTube
WT_RY	1	WT	Rho_ydcI	5	-4	19	1900000	49	4900000	SingleTube
WT_RY	2	WT	Rho_ydcI	5	-4	32	3200000	240	24000000	SingleTube
WT_RY	3	WT	Rho_ydcI	5	-4	32	3200000	373	37300000	SingleTube
ydcI_RY	1	ydcI	Rho_ydcI	5	-4	450	45000000	31	3100000	SingleTube
ydcI_RY	2	ydcI	Rho_ydcI	5	-4	55	5500000	135	13500000	SingleTube
ydcI_RY	3	ydcI	Rho_ydcI	5	-4	58	5800000	45	4500000	SingleTube
WT_Rho	1	WT	Rho	9	-5	8	8000000	0.1	100000	SingleTube
WT_Rho	2	WT	Rho	9	-5	7	7000000	2	2000000	SingleTube
WT_Rho	3	WT	Rho	9	-5	0.1	100000	0.1	100000	SingleTube
WFL_ydcI	1	WT	ydcI	9	-5	1	1000000	12	12000000	SingleTube
WFL_ydcI	2	WT	ydcI	9	-5	81	81000000	0.1	100000	SingleTube
WFL_ydcI	3	WT	ydcI	9	-5	63	63000000	80	80000000	SingleTube
WT_RY	1	WT	Rho_ydcI	9	-5	45	45000000	27	27000000	SingleTube
WT_RY	2	WT	Rho_ydcI	9	-5	0.1	100000	10	10000000	SingleTube
WT_RY	3	WT	Rho_ydcI	9	-5	0.1	100000	119	119000000	SingleTube
ydcI_RY	1	ydcI	Rho_ydcI	9	-5	0.1	100000	0.1	100000	SingleTube
ydcI_RY	2	ydcI	Rho_ydcI	9	-5	54	54000000	0.1	100000	SingleTube
ydcI_RY	3	ydcI	Rho_ydcI	9	-5	72	72000000	1	1000000	SingleTube
WT_Rho	1	WT	Rho	10	-5	54	54000000	0.1	100000	SingleTube
WT_Rho	2	WT	Rho	10	-5	104	104000000	15	15000000	SingleTube
WT_Rho	3	WT	Rho	10	-5	26	26000000	0.1	100000	SingleTube
WFL_ydcI	1	WT	ydcI	10	-5	0.1	100000	172	172000000	SingleTube
WFL_ydcI	2	WT	ydcI	10	-5	0.1	100000	5	5000000	SingleTube
WFL_ydcI	3	WT	ydcI	10	-5	59	59000000	84	84000000	SingleTube
WT_RY	1	WT	Rho_ydcI	10	-5	37	37000000	32	32000000	SingleTube
WT_RY	2	WT	Rho_ydcI	10	-5	0.1	100000	69	69000000	SingleTube
WT_RY	3	WT	Rho_ydcI	10	-5	0.1	100000	18	18000000	SingleTube
ydcI_RY	1	ydcI	Rho_ydcI	10	-5	107	107000000	0.1	100000	SingleTube
ydcI_RY	2	ydcI	Rho_ydcI	10	-5	72	72000000	13	13000000	SingleTube
ydcI_RY	3	ydcI	Rho_ydcI	10	-5	36	36000000	25	25000000	SingleTube
WT_Rho	1	WT	Rho	11	-5	700	700000000	0.1	100000	SingleTube
WT_Rho	2	WT	Rho	11	-5	215	215000000	38	38000000	SingleTube
WT_Rho	3	WT	Rho	11	-5	93	93000000	0.1	100000	SingleTube
WFL_ydcI	1	WT	ydcI	11	-5	4	4000000	1	1000000	SingleTube
WFL_ydcI	2	WT	ydcI	11	-5	0.1	100000	0.1	100000	SingleTube
WFL_ydcI	3	WT	ydcI	11	-5	0.1	100000	63	63000000	SingleTube
WT_RY	1	WT	Rho_ydcI	11	-5	2	2000000	9	9000000	SingleTube
WT_RY	2	WT	Rho_ydcI	11	-5	0.1	100000	13	13000000	SingleTube
WT_RY	3	WT	Rho_ydcI	11	-5	195	195000000	49	49000000	SingleTube
ydcI_RY	1	ydcI	Rho_ydcI	11	-5	135	135000000	0.1	100000	SingleTube
ydcI_RY	2	ydcI	Rho_ydcI	11	-5	24	24000000	3	3000000	SingleTube
ydcI_RY	3	ydcI	Rho_ydcI	11	-5	34	34000000	0.1	100000	SingleTube
WT_Rho	1	WT	Rho	12	-5	86	86000000	0.1	100000	SingleTube
WT_Rho	2	WT	Rho	12	-4	166	16600000	21	2100000	SingleTube
WT_Rho	3	WT	Rho	12	-4	75	7500000	0.1	10000	SingleTube
WFL_ydcI	1	WT	ydcI	12	-4	1	100000	4	400000	SingleTube
WFL_ydcI	2	WT	ydcI	12	-4	0.1	10000	20	2000000	SingleTube
WFL_ydcI	3	WT	ydcI	12	-4	0.1	10000	110	11000000	SingleTube
WT_RY	1	WT	Rho_ydcI	12	-4	1	100000	45	4500000	SingleTube
WT_RY	2	WT	Rho_ydcI	12	-4	7	700000	62	6200000	SingleTube
WT_RY	3	WT	Rho_ydcI	12	-4	1	100000	5	500000	SingleTube
ydcI_RY	1	ydcI	Rho_ydcI	12	-5	69	69000000	0.1	100000	SingleTube
ydcI_RY	2	ydcI	Rho_ydcI	12	-4	2	200000	0.1	10000	SingleTube
ydcI_RY	3	ydcI	Rho_ydcI	12	-4	2	200000	0.1	10000	SingleTube
WT_Rho	1	WT	Rho	13	-4	11	1100000	0.1	10000	SingleTube
WT_Rho	2	WT	Rho	13	-4	0.1	10000	0.1	10000	SingleTube
WT_Rho	3	WT	Rho	13	-4	1	100000	0.1	10000	SingleTube
WFL_ydcI	1	WT	ydcI	13	-4	0.1	10000	4	400000	SingleTube
WFL_ydcI	2	WT	ydcI	13	-4	0.1	10000	500	50000000	SingleTube
WFL_ydcI	3	WT	ydcI	13	-4	0.1	10000	9	900000	SingleTube
WT_RY	1	WT	Rho_ydcI	13	-4	0.1	10000	143	14300000	SingleTube
WT_RY	2	WT	Rho_ydcI	13	-4	0.1	10000	73	7300000	SingleTube
WT_RY	3	WT	Rho_ydcI	13	-4	0.1	10000	1	100000	SingleTube
ydcI_RY	1	ydcI	Rho_ydcI	13	-4	9	900000	0.1	10000	SingleTube
ydcI_RY	2	ydcI	Rho_ydcI	13	-4	0.1	10000	0.1	10000	SingleTube
ydcI_RY	3	ydcI	Rho_ydcI	13	-4	3	300000	0.1	10000	SingleTube
WT_Rho	1	WT	Rho	14	-5	14	14000000	0.1	100000	SingleTube
WT_Rho	2	WT	Rho	14	-5	4	4000000	0.1	100000	SingleTube
WT_Rho	3	WT	Rho	14	-4	1	100000	0.1	10000	SingleTube
WFL_ydcI	1	WT	ydcI	14	-4	0.1	10000	0.1	10000	SingleTube
WFL_ydcI	2	WT	ydcI	14	-4	0.1	10000	18	1800000	SingleTube
WFL_ydcI	3	WT	ydcI	14	-4	0.1	10000	0.1	10000	SingleTube
WT_RY	1	WT	Rho_ydcI	14	-4	0.1	10000	73	7300000	SingleTube
WT_RY	2	WT	Rho_ydcI	14	-4	0.1	10000	79	7900000	SingleTube
WT_RY	3	WT	Rho_ydcI	14	-4	56	5600000	0.1	10000	SingleTube
ydcI_RY	1	ydcI	Rho_ydcI	14	-4	0.1	10000	0.1	10000	SingleTube
ydcI_RY	2	ydcI	Rho_ydcI	14	-4	18	1800000	0.1	10000	SingleTube
ydcI_RY	3	ydcI	Rho_ydcI	14	-4	0.1	10000	0.1	10000	SingleTube
WT_Rho	1	WT	Rho	0	-5	55	5500000	85	8500000	MultipleTubes
WT_Rho	1	WT	Rho	0	-5	43	4300000	60	6000000	MultipleTubes
WT_Rho	1	WT	Rho	0	-5	31	3100000	45	4500000	MultipleTubes
WT_Rho	1	WT	Rho	0	-5	48	4800000	52	5200000	MultipleTubes
WFL_ydcI	1	WT	ydcI	0	-5	25	2500000	25	2500000	MultipleTubes
WFL_ydcI	1	WT	ydcI	0	-5	38	3800000	43	4300000	MultipleTubes
WFL_ydcI	1	WT	ydcI	0	-5	97	9700000	94	9400000	MultipleTubes
WFL_ydcI	1	WT	ydcI	0	-5	78	7800000	66	6600000	MultipleTubes
WT_RY	1	WT	Rho_ydcI	0	-4	49	490000	62	620000	MultipleTubes
WT_RY	1	WT	Rho_ydcI	0	-4	54	540000	87	870000	MultipleTubes
WT_RY	1	WT	Rho_ydcI	0	-4	94	940000	119	1190000	MultipleTubes
WT_RY	1	WT	Rho_ydcI	0	-4	125	1250000	129	1290000	MultipleTubes
ydcI_RY	1	ydcI	Rho_ydcI	0	-5	43	4300000	76	7600000	MultipleTubes
ydcI_RY	1	ydcI	Rho_ydcI	0	-5	60	6000000	69	6900000	MultipleTubes
ydcI_RY	1	ydcI	Rho_ydcI	0	-5	37	3700000	64	6400000	MultipleTubes
ydcI_RY	1	ydcI	Rho_ydcI	0	-5	40	4000000	49	4900000	MultipleTubes
WT_Rho	1	WT	Rho	1	-6	165	165000000	396	396000000	MultipleTubes
WFL_ydcI	1	WT	ydcI	1	-6	441	441000000	635	635000000	MultipleTubes
WT_RY	1	WT	Rho_ydcI	1	-6	448	448000000	830	830000000	MultipleTubes
ydcI_RY	1	ydcI	Rho_ydcI	1	-6	221	221000000	413	413000000	MultipleTubes
WT_Rho	1	WT	Rho	4	-6	10	10000000	61	61000000	MultipleTubes
WFL_ydcI	1	WT	ydcI	4	-6	4	4000000	67	67000000	MultipleTubes
WT_RY	1	WT	Rho_ydcI	4	-6	10	10000000	50	50000000	MultipleTubes
ydcI_RY	1	ydcI	Rho_ydcI	4	-6	12	12000000	20	20000000	MultipleTubes
WT_Rho	1	WT	Rho	7	-5	69	6900000	0.1	10000	MultipleTubes
WFL_ydcI	1	WT	ydcI	7	-6	12	12000000	44	44000000	MultipleTubes
WT_RY	1	WT	Rho_ydcI	7	-6	11	11000000	54	54000000	MultipleTubes
ydcI_RY	1	ydcI	Rho_ydcI	7	-5	229	22900000	1	100000	MultipleTubes
WT_Rho	1	WT	Rho	14	-5	0.1	10000	2	200000	MultipleTubes
WFL_ydcI	1	WT	ydcI	14	-5	0.1	10000	124	12400000	MultipleTubes
WT_RY	1	WT	Rho_ydcI	14	-5	0.1	10000	33	3300000	MultipleTubes
ydcI_RY	1	ydcI	Rho_ydcI	14	-6	36	36000000	0.1	100000	MultipleTubes
WT_Rho	2	WT	Rho	0	-4	144	1440000	139	1390000	MultipleTubes
WT_Rho	2	WT	Rho	0	-5	25	2500000	26	2600000	MultipleTubes
WT_Rho	2	WT	Rho	0	-4	48	480000	67	670000	MultipleTubes
WT_Rho	2	WT	Rho	0	-4	158	1580000	136	1360000	MultipleTubes
WFL_ydcI	2	WT	ydcI	0	-4	113	1130000	86	860000	MultipleTubes
WFL_ydcI	2	WT	ydcI	0	-5	16	1600000	31	3100000	MultipleTubes
WFL_ydcI	2	WT	ydcI	0	-4	113	1130000	85	850000	MultipleTubes
WFL_ydcI	2	WT	ydcI	0	-4	84	840000	142	1420000	MultipleTubes
WT_RY	2	WT	Rho_ydcI	0	-4	124	1240000	96	960000	MultipleTubes
